postgres_db  | 
postgres_db  | 2025-05-31 02:43:37.342 UTC [1] LOG:  database system is ready to accept connections
postgres_db  | 2025-05-31 02:51:52.865 UTC [1] LOG:  received fast shutdown request
postgres_db  | 2025-05-31 02:51:52.870 UTC [1] LOG:  aborting any active transactions
postgres_db  | 2025-05-31 02:51:52.874 UTC [1] LOG:  background worker "logical replication launcher" (PID 33) exited with exit code 1
postgres_db  | 2025-05-31 02:51:52.874 UTC [28] LOG:  shutting down
postgres_db  | 2025-05-31 02:51:52.902 UTC [1] LOG:  database system is shut down
postgres_db  | 
postgres_db  | PostgreSQL Database directory appears to contain a database; Skipping initialization
postgres_db  | 
postgres_db  | 2025-05-31 02:52:05.954 UTC [1] LOG:  starting PostgreSQL 14.18 on x86_64-pc-linux-musl, compiled by gcc (Alpine 14.2.0) 14.2.0, 64-bit
postgres_db  | 2025-05-31 02:52:05.954 UTC [1] LOG:  listening on IPv4 address "0.0.0.0", port 5432
postgres_db  | 2025-05-31 02:52:05.954 UTC [1] LOG:  listening on IPv6 address "::", port 5432
postgres_db  | 2025-05-31 02:52:05.965 UTC [1] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
postgres_db  | 2025-05-31 02:52:05.975 UTC [27] LOG:  database system was shut down at 2025-05-31 02:51:52 UTC
postgres_db  | 2025-05-31 02:52:05.985 UTC [1] LOG:  database system is ready to accept connections
postgres_db  | 2025-05-31 02:53:19.708 UTC [1] LOG:  received fast shutdown request
postgres_db  | 2025-05-31 02:53:19.713 UTC [1] LOG:  aborting any active transactions
postgres_db  | 2025-05-31 02:53:19.716 UTC [1] LOG:  background worker "logical replication launcher" (PID 33) exited with exit code 1
postgres_db  | 2025-05-31 02:53:19.717 UTC [28] LOG:  shutting down
postgres_db  | 2025-05-31 02:53:19.752 UTC [1] LOG:  database system is shut down
postgres_db  | 
postgres_db  | PostgreSQL Database directory appears to contain a database; Skipping initialization
postgres_db  | 
postgres_db  | 2025-05-31 02:55:53.112 UTC [1] LOG:  starting PostgreSQL 14.18 on x86_64-pc-linux-musl, compiled by gcc (Alpine 14.2.0) 14.2.0, 64-bit
postgres_db  | 2025-05-31 02:55:53.113 UTC [1] LOG:  listening on IPv4 address "0.0.0.0", port 5432
postgres_db  | 2025-05-31 02:55:53.113 UTC [1] LOG:  listening on IPv6 address "::", port 5432
postgres_db  | 2025-05-31 02:55:53.127 UTC [1] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
postgres_db  | 2025-05-31 02:55:53.150 UTC [27] LOG:  database system was shut down at 2025-05-31 02:53:19 UTC
postgres_db  | 2025-05-31 02:55:53.164 UTC [1] LOG:  database system is ready to accept connections
postgres_db  | 2025-05-31 03:07:20.340 UTC [1] LOG:  received fast shutdown request
postgres_db  | 2025-05-31 03:07:20.345 UTC [1] LOG:  aborting any active transactions
postgres_db  | 2025-05-31 03:07:20.349 UTC [1] LOG:  background worker "logical replication launcher" (PID 33) exited with exit code 1
postgres_db  | 2025-05-31 03:07:20.351 UTC [28] LOG:  shutting down
postgres_db  | 2025-05-31 03:07:20.390 UTC [1] LOG:  database system is shut down
user_service  | INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.
user_service  | INFO  [alembic.runtime.migration] Will assume transactional DDL.
user_service  | 2025-05-31 03:06:50,302 INFO sqlalchemy.engine.Engine select pg_catalog.version()
user_service  | 2025-05-31 03:06:50,303 INFO sqlalchemy.engine.Engine [raw sql] ()
user_service  | 2025-05-31 03:06:50,305 INFO sqlalchemy.engine.Engine select current_schema()
user_service  | 2025-05-31 03:06:50,305 INFO sqlalchemy.engine.Engine [raw sql] ()
user_service  | 2025-05-31 03:06:50,307 INFO sqlalchemy.engine.Engine show standard_conforming_strings
user_service  | 2025-05-31 03:06:50,307 INFO sqlalchemy.engine.Engine [raw sql] ()
user_service  | 2025-05-31 03:06:50,308 INFO sqlalchemy.engine.Engine BEGIN (implicit)
user_service  | 2025-05-31 03:06:50,311 INFO sqlalchemy.engine.Engine SELECT users.full_name, users.login, users.hashed_password, users.email, users.age, users.id 
user_service  | FROM users 
user_service  | WHERE users.login = $1::VARCHAR
user_service  | 2025-05-31 03:06:50,311 INFO sqlalchemy.engine.Engine [generated in 0.00018s] ('admin',)
user_service  | 👤 Admin already exists
user_service  | 2025-05-31 03:06:50,317 INFO sqlalchemy.engine.Engine ROLLBACK
user_service  | 2025-05-31 03:06:52,001 INFO sqlalchemy.engine.Engine select pg_catalog.version()
user_service  | 2025-05-31 03:06:52,001 INFO sqlalchemy.engine.Engine [raw sql] ()
user_service  | 2025-05-31 03:06:52,003 INFO sqlalchemy.engine.Engine select current_schema()
user_service  | 2025-05-31 03:06:52,003 INFO sqlalchemy.engine.Engine [raw sql] ()
user_service  | 2025-05-31 03:06:52,005 INFO sqlalchemy.engine.Engine show standard_conforming_strings
user_service  | 2025-05-31 03:06:52,005 INFO sqlalchemy.engine.Engine [raw sql] ()
user_service  | 2025-05-31 03:06:52,006 INFO sqlalchemy.engine.Engine BEGIN (implicit)
user_service  | 2025-05-31 03:06:52,009 INFO sqlalchemy.engine.Engine SELECT count(*) AS count_1 
user_service  | FROM users
user_service  | 2025-05-31 03:06:52,009 INFO sqlalchemy.engine.Engine [generated in 0.00013s] ()
user_service  | 📦 Found 101 users — dummy users not needed.
user_service  | 2025-05-31 03:06:52,012 INFO sqlalchemy.engine.Engine ROLLBACK
user_service  | INFO:     Started server process [1]
user_service  | INFO:     Waiting for application startup.
user_service  | INFO:     Application startup complete.
user_service  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
user_service  | INFO:     Shutting down
user_service  | INFO:     Waiting for application shutdown.
user_service  | INFO:     Application shutdown complete.
user_service  | INFO:     Finished server process [1]
kafka         | ===> User
kafka         | uid=1000(appuser) gid=1000(appuser) groups=1000(appuser)
kafka         | ===> Configuring ...
kafka         | Running in KRaft mode...
kafka         | ===> Running preflight checks ... 
kafka         | ===> Check if /var/lib/kafka/data is writable ...
kafka         | ===> Running in KRaft mode, skipping Zookeeper health check...
kafka         | ===> Using provided cluster id LKx3fGxNSsmDZh6L9a5svA== ...
kafka         | ===> Launching ... 
kafka         | ===> Launching kafka ... 
kafka         | [2025-05-31 02:55:59,312] INFO Registered kafka:type=kafka.Log4jController MBean (kafka.utils.Log4jControllerRegistration$)
kafka         | [2025-05-31 02:55:59,564] INFO Setting -D jdk.tls.rejectClientInitiatedRenegotiation=true to disable client-initiated TLS renegotiation (org.apache.zookeeper.common.X509Util)
kafka         | [2025-05-31 02:55:59,674] INFO Registered signal handlers for TERM, INT, HUP (org.apache.kafka.common.utils.LoggingSignalHandler)
kafka         | [2025-05-31 02:55:59,680] INFO [ControllerServer id=1] Starting controller (kafka.server.ControllerServer)
kafka         | [2025-05-31 02:55:59,974] INFO Updated connection-accept-rate max connection creation rate to 2147483647 (kafka.network.ConnectionQuotas)
kafka         | [2025-05-31 02:56:00,027] INFO [SocketServer listenerType=CONTROLLER, nodeId=1] Created data-plane acceptor and processors for endpoint : ListenerName(CONTROLLER) (kafka.network.SocketServer)
kafka         | [2025-05-31 02:56:00,030] INFO [SharedServer id=1] Starting SharedServer (kafka.server.SharedServer)
kafka         | [2025-05-31 02:56:00,086] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kraft-combined-logs] Loading producer state till offset 0 with message format version 2 (kafka.log.UnifiedLog$)
kafka         | [2025-05-31 02:56:00,086] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kraft-combined-logs] Reloading from producer snapshot and rebuilding producer state from offset 0 (kafka.log.UnifiedLog$)
kafka         | [2025-05-31 02:56:00,086] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kraft-combined-logs] Producer state recovery took 0ms for snapshot load and 0ms for segment recovery from offset 0 (kafka.log.UnifiedLog$)
kafka         | [2025-05-31 02:56:00,120] INFO Initialized snapshots with IDs SortedSet() from /tmp/kraft-combined-logs/__cluster_metadata-0 (kafka.raft.KafkaMetadataLog$)
kafka         | [2025-05-31 02:56:00,135] INFO [raft-expiration-reaper]: Starting (kafka.raft.TimingWheelExpirationService$ExpiredOperationReaper)
kafka         | [2025-05-31 02:56:00,272] INFO [RaftManager id=1] Completed transition to Unattached(epoch=0, voters=[1], electionTimeoutMs=1557) from null (org.apache.kafka.raft.QuorumState)
kafka         | [2025-05-31 02:56:00,283] INFO [RaftManager id=1] Completed transition to CandidateState(localId=1, epoch=1, retries=1, voteStates={1=GRANTED}, highWatermark=Optional.empty, electionTimeoutMs=1945) from Unattached(epoch=0, voters=[1], electionTimeoutMs=1557) (org.apache.kafka.raft.QuorumState)
kafka         | [2025-05-31 02:56:00,296] INFO [RaftManager id=1] Completed transition to Leader(localId=1, epoch=1, epochStartOffset=0, highWatermark=Optional.empty, voterStates={1=ReplicaState(nodeId=1, endOffset=Optional.empty, lastFetchTimestamp=-1, lastCaughtUpTimestamp=-1, hasAcknowledgedLeader=true)}) from CandidateState(localId=1, epoch=1, retries=1, voteStates={1=GRANTED}, highWatermark=Optional.empty, electionTimeoutMs=1945) (org.apache.kafka.raft.QuorumState)
kafka         | [2025-05-31 02:56:00,337] INFO [kafka-1-raft-outbound-request-thread]: Starting (kafka.raft.RaftSendThread)
kafka         | [2025-05-31 02:56:00,337] INFO [kafka-1-raft-io-thread]: Starting (kafka.raft.KafkaRaftManager$RaftIoThread)
kafka         | [2025-05-31 02:56:00,361] INFO [ControllerServer id=1] Waiting for controller quorum voters future (kafka.server.ControllerServer)
kafka         | [2025-05-31 02:56:00,361] INFO [MetadataLoader id=1] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka         | [2025-05-31 02:56:00,361] INFO [ControllerServer id=1] Finished waiting for controller quorum voters future (kafka.server.ControllerServer)
kafka         | [2025-05-31 02:56:00,364] INFO [RaftManager id=1] High watermark set to LogOffsetMetadata(offset=1, metadata=Optional[(segmentBaseOffset=0,relativePositionInSegment=91)]) for the first time for epoch 1 based on indexOfHw 0 and voters [ReplicaState(nodeId=1, endOffset=Optional[LogOffsetMetadata(offset=1, metadata=Optional[(segmentBaseOffset=0,relativePositionInSegment=91)])], lastFetchTimestamp=-1, lastCaughtUpTimestamp=-1, hasAcknowledgedLeader=true)] (org.apache.kafka.raft.LeaderState)
kafka         | [2025-05-31 02:56:00,381] INFO [RaftManager id=1] Registered the listener org.apache.kafka.image.loader.MetadataLoader@1626061044 (org.apache.kafka.raft.KafkaRaftClient)
kafka         | [2025-05-31 02:56:00,389] INFO [MetadataLoader id=1] handleCommit: The loader is still catching up because we have loaded up to offset -1, but the high water mark is 1 (org.apache.kafka.image.loader.MetadataLoader)
kafka         | [2025-05-31 02:56:00,400] INFO [QuorumController id=1] Creating new QuorumController with clusterId LKx3fGxNSsmDZh6L9a5svA, authorizer Optional.empty. (org.apache.kafka.controller.QuorumController)
trip_service  | INFO:     Started server process [1]
trip_service  | INFO:     Waiting for application startup.
trip_service  | INFO:     Application startup complete.
trip_service  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
trip_service  | INFO:     Shutting down
kafka         | [2025-05-31 02:56:00,400] INFO [RaftManager id=1] Registered the listener org.apache.kafka.controller.QuorumController$QuorumMetaLogListener@1767370255 (org.apache.kafka.raft.KafkaRaftClient)
cache         | 1:C 31 May 2025 02:35:02.641 * oO0OoO0OoO0Oo Redis is starting oO0OoO0OoO0Oo
trip_service  | INFO:     Waiting for application shutdown.
trip_service  | INFO:     Application shutdown complete.
trip_service  | INFO:     Finished server process [1]
kafka         | [2025-05-31 02:56:00,403] INFO [QuorumController id=1] Becoming the active controller at epoch 1, committed offset -1, committed epoch -1 (org.apache.kafka.controller.QuorumController)
cache         | 1:C 31 May 2025 02:35:02.641 * Redis version=7.2.4, bits=64, commit=00000000, modified=0, pid=1, just started
mongo_db      | {"t":{"$date":"2025-05-31T03:06:47.712+00:00"},"s":"I",  "c":"CONTROL",  "id":23285,   "ctx":"main","msg":"Automatically disabling TLS 1.0, to force-enable TLS 1.0 specify --sslDisabledProtocols 'none'"}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:47.713+00:00"},"s":"I",  "c":"NETWORK",  "id":4915701, "ctx":"main","msg":"Initialized wire specification","attr":{"spec":{"incomingExternalClient":{"minWireVersion":0,"maxWireVersion":13},"incomingInternalClient":{"minWireVersion":0,"maxWireVersion":13},"outgoing":{"minWireVersion":0,"maxWireVersion":13},"isInternalClient":true}}}
cache         | 1:C 31 May 2025 02:35:02.641 # Warning: no config file specified, using the default config. In order to specify a config file use redis-server /path/to/redis.conf
cache         | 1:M 31 May 2025 02:35:02.642 * monotonic clock: POSIX clock_gettime
cache         | 1:M 31 May 2025 02:35:02.644 * Running mode=standalone, port=6379.
cache         | 1:M 31 May 2025 02:35:02.648 * Server initialized
cache         | 1:M 31 May 2025 02:35:02.649 * Loading RDB produced by version 7.2.4
cache         | 1:M 31 May 2025 02:35:02.649 * RDB age 7208 seconds
cache         | 1:M 31 May 2025 02:35:02.649 * RDB memory usage when created 0.86 Mb
cache         | 1:M 31 May 2025 02:35:02.649 * Done loading RDB, keys loaded: 28, keys expired: 0.
cache         | 1:M 31 May 2025 02:35:02.650 * DB loaded from disk: 0.002 seconds
cache         | 1:M 31 May 2025 02:35:02.650 * Ready to accept connections tcp
cache         | 1:signal-handler (1748659124) Received SIGTERM scheduling shutdown...
cache         | 1:M 31 May 2025 02:38:44.962 * User requested shutdown...
cache         | 1:M 31 May 2025 02:38:44.962 * Saving the final RDB snapshot before exiting.
cache         | 1:M 31 May 2025 02:38:44.972 * DB saved on disk
kafka         | [2025-05-31 02:56:00,409] INFO [QuorumController id=1] The metadata log appears to be empty. Appending 1 bootstrap record(s) at metadata.version 3.5-IV2 from the binary bootstrap metadata file: /tmp/kraft-combined-logs/bootstrap.checkpoint. (org.apache.kafka.controller.QuorumController)
kafka         | [2025-05-31 02:56:00,410] INFO [controller-1-ThrottledChannelReaper-Fetch]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka         | [2025-05-31 02:56:00,411] INFO [controller-1-ThrottledChannelReaper-Produce]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka         | [2025-05-31 02:56:00,412] INFO [QuorumController id=1] Setting metadata version to 3.5-IV2 (org.apache.kafka.controller.FeatureControlManager)
kafka         | [2025-05-31 02:56:00,413] INFO [controller-1-ThrottledChannelReaper-Request]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka         | [2025-05-31 02:56:00,413] INFO [QuorumController id=1] Transitioning ZK migration state from NONE to NONE (org.apache.kafka.controller.FeatureControlManager)
kafka         | [2025-05-31 02:56:00,415] INFO [controller-1-ThrottledChannelReaper-ControllerMutation]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka         | [2025-05-31 02:56:00,432] INFO [ExpirationReaper-1-AlterAcls]: Starting (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
mongo_db      | {"t":{"$date":"2025-05-31T03:06:47.718+00:00"},"s":"W",  "c":"ASIO",     "id":22601,   "ctx":"main","msg":"No TransportLayer configured during NetworkInterface startup"}
kafka         | [2025-05-31 02:56:00,437] INFO [SocketServer listenerType=CONTROLLER, nodeId=1] Enabling request processing. (kafka.network.SocketServer)
kafka         | [2025-05-31 02:56:00,443] INFO Awaiting socket connections on kafka:9093. (kafka.network.DataPlaneAcceptor)
kafka         | [2025-05-31 02:56:00,447] INFO [ControllerServer id=1] Waiting for all of the authorizer futures to be completed (kafka.server.ControllerServer)
kafka         | [2025-05-31 02:56:00,447] INFO [ControllerServer id=1] Finished waiting for all of the authorizer futures to be completed (kafka.server.ControllerServer)
kafka         | [2025-05-31 02:56:00,447] INFO [ControllerServer id=1] Waiting for all of the SocketServer Acceptors to be started (kafka.server.ControllerServer)
kafka         | [2025-05-31 02:56:00,447] INFO [ControllerServer id=1] Finished waiting for all of the SocketServer Acceptors to be started (kafka.server.ControllerServer)
kafka         | [2025-05-31 02:56:00,448] INFO [MetadataLoader id=1] handleCommit: The loader finished catching up to the current high water mark of 3 (org.apache.kafka.image.loader.MetadataLoader)
kafka         | [2025-05-31 02:56:00,451] INFO [ControllerServer id=1] Waiting for the controller metadata publishers to be installed (kafka.server.ControllerServer)
mongo_db      | {"t":{"$date":"2025-05-31T03:06:47.719+00:00"},"s":"I",  "c":"NETWORK",  "id":4648601, "ctx":"main","msg":"Implicit TCP FastOpen unavailable. If TCP FastOpen is required, set tcpFastOpenServer, tcpFastOpenClient, and tcpFastOpenQueueSize."}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:47.723+00:00"},"s":"W",  "c":"ASIO",     "id":22601,   "ctx":"main","msg":"No TransportLayer configured during NetworkInterface startup"}
kafka         | [2025-05-31 02:56:00,451] INFO [ControllerServer id=1] Finished waiting for the controller metadata publishers to be installed (kafka.server.ControllerServer)
kafka         | [2025-05-31 02:56:00,453] INFO [BrokerServer id=1] Transition from SHUTDOWN to STARTING (kafka.server.BrokerServer)
kafka         | [2025-05-31 02:56:00,453] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing SnapshotGenerator with a snapshot at offset 2 (org.apache.kafka.image.loader.MetadataLoader)
kafka         | [2025-05-31 02:56:00,453] INFO [BrokerServer id=1] Starting broker (kafka.server.BrokerServer)
kafka         | [2025-05-31 02:56:00,454] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing DynamicConfigPublisher controller id=1 with a snapshot at offset 2 (org.apache.kafka.image.loader.MetadataLoader)
kafka         | [2025-05-31 02:56:00,457] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing DynamicClientQuotaPublisher controller id=1 with a snapshot at offset 2 (org.apache.kafka.image.loader.MetadataLoader)
mongo_db      | {"t":{"$date":"2025-05-31T03:06:47.723+00:00"},"s":"I",  "c":"REPL",     "id":5123008, "ctx":"main","msg":"Successfully registered PrimaryOnlyService","attr":{"service":"TenantMigrationDonorService","ns":"config.tenantMigrationDonors"}}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:47.723+00:00"},"s":"I",  "c":"REPL",     "id":5123008, "ctx":"main","msg":"Successfully registered PrimaryOnlyService","attr":{"service":"TenantMigrationRecipientService","ns":"config.tenantMigrationRecipients"}}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:47.723+00:00"},"s":"I",  "c":"CONTROL",  "id":5945603, "ctx":"main","msg":"Multi threading initialized"}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:47.725+00:00"},"s":"I",  "c":"CONTROL",  "id":4615611, "ctx":"initandlisten","msg":"MongoDB starting","attr":{"pid":1,"port":27017,"dbPath":"/data/db","architecture":"64-bit","host":"d786c3506d44"}}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:47.725+00:00"},"s":"I",  "c":"CONTROL",  "id":23403,   "ctx":"initandlisten","msg":"Build Info","attr":{"buildInfo":{"version":"5.0.31","gitVersion":"973237567d45610d6976d5d489dfaaef6a52c2f9","openSSLVersion":"OpenSSL 1.1.1f  31 Mar 2020","modules":[],"allocator":"tcmalloc","environment":{"distmod":"ubuntu2004","distarch":"x86_64","target_arch":"x86_64"}}}}
cache         | 1:M 31 May 2025 02:38:44.972 # Redis is now ready to exit, bye bye...
cache         | 1:C 31 May 2025 02:38:51.860 * oO0OoO0OoO0Oo Redis is starting oO0OoO0OoO0Oo
cache         | 1:C 31 May 2025 02:38:51.860 * Redis version=7.2.4, bits=64, commit=00000000, modified=0, pid=1, just started
kafka         | [2025-05-31 02:56:00,458] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing ScramPublisher controller id=1 with a snapshot at offset 2 (org.apache.kafka.image.loader.MetadataLoader)
kafka         | [2025-05-31 02:56:00,459] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing ControllerMetadataMetricsPublisher with a snapshot at offset 2 (org.apache.kafka.image.loader.MetadataLoader)
kafka         | [2025-05-31 02:56:00,463] INFO [broker-1-ThrottledChannelReaper-Fetch]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka         | [2025-05-31 02:56:00,464] INFO [broker-1-ThrottledChannelReaper-Produce]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
cache         | 1:C 31 May 2025 02:38:51.860 # Warning: no config file specified, using the default config. In order to specify a config file use redis-server /path/to/redis.conf
cache         | 1:M 31 May 2025 02:38:51.861 * monotonic clock: POSIX clock_gettime
cache         | 1:M 31 May 2025 02:38:51.862 * Running mode=standalone, port=6379.
cache         | 1:M 31 May 2025 02:38:51.863 * Server initialized
cache         | 1:M 31 May 2025 02:38:51.864 * Loading RDB produced by version 7.2.4
cache         | 1:M 31 May 2025 02:38:51.864 * RDB age 7 seconds
cache         | 1:M 31 May 2025 02:38:51.864 * RDB memory usage when created 0.86 Mb
cache         | 1:M 31 May 2025 02:38:51.864 * Done loading RDB, keys loaded: 28, keys expired: 0.
cache         | 1:M 31 May 2025 02:38:51.864 * DB loaded from disk: 0.001 seconds
kafka         | [2025-05-31 02:56:00,464] INFO [broker-1-ThrottledChannelReaper-Request]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka         | [2025-05-31 02:56:00,464] INFO [broker-1-ThrottledChannelReaper-ControllerMutation]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka         | [2025-05-31 02:56:00,480] INFO [BrokerServer id=1] Waiting for controller quorum voters future (kafka.server.BrokerServer)
kafka         | [2025-05-31 02:56:00,480] INFO [BrokerServer id=1] Finished waiting for controller quorum voters future (kafka.server.BrokerServer)
kafka         | [2025-05-31 02:56:00,486] INFO [broker-1-to-controller-forwarding-channel-manager]: Starting (kafka.server.BrokerToControllerRequestThread)
kafka         | [2025-05-31 02:56:00,488] INFO [broker-1-to-controller-forwarding-channel-manager]: Recorded new controller, from now on will use node kafka:9093 (id: 1 rack: null) (kafka.server.BrokerToControllerRequestThread)
kafka         | [2025-05-31 02:56:00,521] INFO Updated connection-accept-rate max connection creation rate to 2147483647 (kafka.network.ConnectionQuotas)
kafka         | [2025-05-31 02:56:00,528] INFO [SocketServer listenerType=BROKER, nodeId=1] Created data-plane acceptor and processors for endpoint : ListenerName(PLAINTEXT) (kafka.network.SocketServer)
kafka         | [2025-05-31 02:56:00,533] INFO [broker-1-to-controller-alter-partition-channel-manager]: Starting (kafka.server.BrokerToControllerRequestThread)
cache         | 1:M 31 May 2025 02:38:51.864 * Ready to accept connections tcp
cache         | 1:signal-handler (1748659351) Received SIGTERM scheduling shutdown...
cache         | 1:M 31 May 2025 02:42:31.772 * User requested shutdown...
cache         | 1:M 31 May 2025 02:42:31.773 * Saving the final RDB snapshot before exiting.
cache         | 1:M 31 May 2025 02:42:31.786 * DB saved on disk
kafka         | [2025-05-31 02:56:00,534] INFO [broker-1-to-controller-alter-partition-channel-manager]: Recorded new controller, from now on will use node kafka:9093 (id: 1 rack: null) (kafka.server.BrokerToControllerRequestThread)
kafka         | [2025-05-31 02:56:00,548] INFO [ExpirationReaper-1-Produce]: Starting (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka         | [2025-05-31 02:56:00,550] INFO [ExpirationReaper-1-Fetch]: Starting (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka         | [2025-05-31 02:56:00,551] INFO [ExpirationReaper-1-DeleteRecords]: Starting (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka         | [2025-05-31 02:56:00,553] INFO [ExpirationReaper-1-ElectLeader]: Starting (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka         | [2025-05-31 02:56:00,568] INFO [ExpirationReaper-1-Heartbeat]: Starting (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka         | [2025-05-31 02:56:00,569] INFO [ExpirationReaper-1-Rebalance]: Starting (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka         | [2025-05-31 02:56:00,598] INFO [broker-1-to-controller-heartbeat-channel-manager]: Starting (kafka.server.BrokerToControllerRequestThread)
kafka         | [2025-05-31 02:56:00,599] INFO [broker-1-to-controller-heartbeat-channel-manager]: Recorded new controller, from now on will use node kafka:9093 (id: 1 rack: null) (kafka.server.BrokerToControllerRequestThread)
